,date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,station_name,region_name,latitude,longitude,region_id,province_id,province_name
284004,01-02-2010,21.0,27.0,23.2,84.0,1.8,0.5,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284005,02-02-2010,20.0,28.0,22.8,87.0,19.5,1.0,3.0,315.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284006,03-02-2010,20.0,28.6,23.8,82.0,19.5,2.9,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284007,04-02-2010,19.0,27.2,23.1,90.0,82.4,2.9,3.0,90.0,1.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284008,05-02-2010,20.0,28.3,22.8,88.0,59.0,3.7,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284009,06-02-2010,20.0,28.4,22.8,86.0,11.7,3.6,3.0,270.0,2.0,NE,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284010,07-02-2010,20.0,28.5,23.2,82.0,20.5,5.1,4.0,270.0,2.0,NE,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284011,08-02-2010,20.0,27.2,23.7,86.0,0.0,1.5,2.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284012,09-02-2010,21.0,27.2,22.5,92.0,23.8,3.4,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284013,10-02-2010,20.0,28.4,23.4,84.0,15.5,4.8,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284014,11-02-2010,21.0,27.7,23.1,90.0,2.0,2.2,2.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284015,12-02-2010,21.0,28.6,22.5,90.0,47.5,2.8,2.0,315.0,1.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284016,13-02-2010,21.0,26.7,22.4,92.0,64.1,3.6,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284017,14-02-2010,20.0,27.0,21.9,89.0,25.4,3.6,3.0,225.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284018,15-02-2010,19.0,29.2,23.2,88.0,18.2,2.8,3.0,270.0,1.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284019,16-02-2010,20.0,27.4,23.2,86.0,18.0,1.3,2.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284020,17-02-2010,20.0,26.2,21.9,92.0,30.5,2.4,4.0,45.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284021,18-02-2010,21.0,28.8,23.6,92.0,8.5,3.6,4.0,315.0,2.0,NW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284022,19-02-2010,21.0,27.0,23.4,86.0,17.2,2.5,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284023,20-02-2010,21.0,28.2,23.4,85.0,2.8,2.7,4.0,315.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284024,21-02-2010,20.0,28.2,23.3,85.0,5.5,3.9,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284025,22-02-2010,19.0,29.0,23.7,82.0,20.5,6.6,4.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284026,23-02-2010,21.0,30.6,24.9,76.0,0.0,5.4,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284027,24-02-2010,19.0,29.2,23.6,87.0,0.6,3.0,1.0,270.0,0.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284028,25-02-2010,19.0,27.2,21.6,93.0,29.4,3.1,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284029,26-02-2010,19.0,28.6,23.3,84.0,12.2,4.0,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284030,27-02-2010,20.0,30.3,24.5,82.0,0.0,4.7,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284031,28-02-2010,21.0,30.2,24.2,83.0,1.0,4.8,4.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284032,01-03-2010,21.0,28.4,23.2,86.0,,3.5,3.0,45.0,2.0,NE,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284033,02-03-2010,19.0,30.4,23.9,78.0,47.5,7.4,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284034,03-03-2010,19.0,29.8,24.0,82.0,3.5,5.0,3.0,270.0,2.0,NE,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284035,04-03-2010,22.0,29.0,24.6,79.0,,3.4,4.0,315.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284036,05-03-2010,22.0,26.6,23.3,88.0,1.0,1.8,2.0,90.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284037,06-03-2010,20.0,28.7,23.3,82.0,2.4,4.9,4.0,360.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284038,07-03-2010,20.0,30.6,23.9,83.0,10.5,6.3,3.0,270.0,2.0,NE,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284039,08-03-2010,21.0,29.0,23.8,84.0,4.2,2.4,3.0,90.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284040,09-03-2010,21.0,27.0,22.5,94.0,33.0,2.2,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
